Date,1 Day Entertainment,3 Day Entertainment,7 Day Entertainment,28 Day Entertainment,1 Day Telephone,3 Day Telephone,7 Day Telephone,28 Day Telephone,1 Day All Inclusive,3 Day All Inclusive,7 Day All Inclusive,28 Day All Inclusive
2017/12/01,4,6,1,1,0,0,0,0,1,2,1,0
2017/12/02,7,3,2,0,0,1,0,0,1,5,2,0
2017/12/03,6,5,3,0,2,0,0,0,1,2,1,0
2017/12/04,4,11,3,0,0,0,0,0,1,1,0,0
2017/12/05,9,7,2,0,0,1,2,0,2,1,0,0
2017/12/06,8,3,4,0,0,0,0,0,1,1,1,0
2017/12/07,5,8,1,0,0,0,1,0,1,3,0,0
2017/12/08,2,8,1,0,0,1,0,0,0,2,0,0
2017/12/09,1,4,2,0,0,0,1,0,2,1,1,0
2017/12/10,4,4,1,0,1,1,0,0,3,1,0,1
2017/12/11,8,6,2,0,0,0,0,0,3,3,0,1
2017/12/12,10,1,1,2,0,0,0,0,1,2,0,0
2017/12/13,13,6,0,1,0,0,0,0,2,0,0,0
2017/12/14,9,10,1,0,0,1,0,0,5,5,1,0
2017/12/15,7,7,2,0,0,1,0,1,1,0,0,0
2017/12/16,5,8,2,0,0,0,0,0,2,1,0,0
2017/12/17,7,8,1,0,0,0,0,0,3,1,0,0
2017/12/18,4,9,2,1,0,1,1,0,5,1,0,0
2017/12/19,9,5,2,0,0,0,0,0,3,0,0,0
2017/12/20,4,4,1,1,0,1,0,0,2,1,0,0
2017/12/21,6,7,1,1,0,0,0,0,1,2,0,0
2017/12/22,6,3,3,0,1,0,0,0,0,0,1,0
2017/12/23,4,3,1,0,0,0,0,0,0,3,0,0
2017/12/24,5,5,3,0,0,0,0,0,0,1,0,0
2017/12/25,3,3,0,0,0,0,0,0,0,1,0,0
2017/12/26,5,3,5,1,0,1,0,0,0,3,0,0
2017/12/27,6,3,1,0,0,0,0,0,0,1,0,0
2017/12/28,6,4,1,0,0,0,1,0,0,2,0,0
2017/12/29,2,10,0,0,0,0,0,0,0,3,2,0
2017/12/30,2,4,0,0,0,0,0,0,1,2,1,0
2017/12/31,6,5,2,0,1,0,1,0,0,2,0,0
