Date,POS Credit,POS Debit,Self-Activation,Free Service,Cash,"Other Methods (Demo, DON, 3rd Party, Transfer)",Total After Taxes,Discount Amount,Total After Taxes and Discount,Refund,Total After Taxes/Discounts and Refunds
2017/12/01,$84.00,$112.00,$237.00,$4.99,$158.00,$10.00,$605.99,$4.99,$601.00,$0.0,$601.00
2017/12/02,$56.00,$182.00,$129.00,$14.00,$0.0,$0.0,$381.00,$14.00,$367.00,$0.0,$367.00
2017/12/03,$91.00,$119.00,$54.00,$170.00,$97.00,$63.00,$594.00,$170.00,$424.00,$0.0,$424.00
2017/12/04,$91.00,$56.00,$62.00,$10.00,$98.00,$20.00,$337.00,$10.00,$327.00,$0.0,$327.00
2017/12/05,$87.00,$248.00,$194.00,$0.0,$20.00,$0.0,$549.00,$0.00,$549.00,$0.0,$549.00
2017/12/06,$56.00,$63.00,$129.99,$10.00,$112.00,$63.00,$433.99,$10.00,$423.99,$24.00,$399.99
2017/12/07,$48.00,$121.00,$56.00,$30.00,$100.00,$0.0,$355.00,$30.00,$325.00,$0.0,$325.00
2017/12/08,$101.00,$205.00,$101.00,$0.0,$24.99,$0.0,$431.99,$0.00,$431.99,$0.0,$431.99
2017/12/09,$0.0,$66.00,$38.00,$14.00,$24.99,$0.0,$142.99,$14.00,$128.99,$0.0,$128.99
2017/12/10,$0.0,$28.00,$101.00,$64.00,$50.00,$63.00,$306.00,$64.00,$242.00,$0.0,$242.00
2017/12/11,$63.00,$0.0,$178.00,$72.99,$60.99,$0.0,$374.98,$72.99,$301.99,$0.0,$301.99
2017/12/12,$91.00,$101.00,$28.00,$10.00,$118.00,$0.0,$348.00,$10.00,$338.00,$0.0,$338.00
2017/12/13,$154.00,$28.00,$108.00,$10.00,$20.00,$192.99,$512.99,$73.00,$439.99,$0.0,$439.99
2017/12/14,$101.00,$0.0,$49.00,$10.00,$38.00,$10.00,$208.00,$10.00,$198.00,$0.0,$198.00
2017/12/15,$95.99,$297.98,$10.00,$18.99,$48.00,$73.00,$543.96,$18.99,$524.97,$0.0,$524.97
2017/12/16,$258.99,$28.00,$10.00,$10.00,$192.00,$0.0,$498.99,$10.00,$488.99,$63.00,$425.99
2017/12/17,$68.00,$10.00,$58.00,$0.0,$34.00,$73.00,$243.00,$0.00,$243.00,$0.0,$243.00
2017/12/18,$52.00,$28.00,$129.00,$10.00,$56.00,$0.0,$275.00,$10.00,$265.00,$14.00,$251.00
2017/12/19,$121.00,$0.0,$10.00,$34.00,$49.00,$0.0,$214.00,$34.00,$180.00,$0.0,$180.00
2017/12/20,$48.00,$63.00,$73.00,$0.0,$48.00,$63.00,$295.00,$0.00,$295.00,$0.0,$295.00
2017/12/21,$154.00,$119.00,$58.00,$129.99,$63.00,$20.00,$543.99,$129.99,$414.00,$10.00,$404.00
2017/12/22,$28.00,$237.00,$65.00,$20.00,$131.00,$73.00,$554.00,$20.00,$534.00,$0.0,$534.00
2017/12/23,$78.00,$28.00,$24.00,$0.0,$20.00,$10.00,$160.00,$0.00,$160.00,$0.0,$160.00
2017/12/24,$154.00,$111.00,$90.00,$10.00,$30.00,$91.00,$486.00,$10.00,$476.00,$0.0,$476.00
2017/12/25,$0.0,$0.0,$148.00,$0.0,$0.0,$0.0,$148.00,$0.00,$148.00,$0.0,$148.00
2017/12/26,$38.00,$39.98,$123.00,$38.00,$91.00,$160.00,$489.98,$38.00,$451.98,$0.0,$451.98
2017/12/27,$160.00,$28.00,$118.99,$10.00,$143.00,$0.0,$459.99,$10.00,$449.99,$0.0,$449.99
2017/12/28,$237.00,$10.00,$76.00,$48.00,$121.00,$48.00,$540.00,$48.00,$492.00,$0.0,$492.00
2017/12/29,$56.00,$10.00,$10.00,$30.00,$0.0,$63.00,$169.00,$30.00,$139.00,$0.0,$139.00
2017/12/30,$22.00,$38.00,$101.00,$0.0,$68.00,$0.0,$229.00,$0.00,$229.00,$0.0,$229.00
2017/12/31,$175.00,$103.00,$192.00,$10.00,$83.00,$63.00,$626.00,$10.00,$616.00,$0.0,$616.00
